"Region ","Column1"
"Andhra Pradesh       ","4481"
"Arunachal Pradesh ","873"
"Assam                ","2948"
"Bihar                ","7556"
"Chhattisgarh         ","3365"
"Delhi                ","6764"
"Goa                  ","5001"
"Gujarat              ","2966"
"Himachal Pradesh     ","11656"
"Jharkhand            ","7045"
"Karnataka            ","3546"
"Kerala               ","3367"
"Madhya Pradesh       ","2787"
"Uttar Pradesh        ","3153"
"Telangana            ","2197"
"Tripura              ","2183"
"Uttarakhand          ","6538"
"Rajasthan            ","4846"
"West Bengal          ","6468"
"Tamil Nadu           ","3896"
"Maharashtra          ","3849"
"Punjab               ","3749"
"Puducherry           ","14720"
"Odisha               ","3725"
"Meghalaya            ","4019"
"Haryana              ","4532"
"Jammu & Kashmir       ","5651"
"Sikkim                ","3896"
